"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12"
"Mmollay_Zwin2",0.0114775618014464,0,0,0,0,0,0,0,0,0,0,0
"Mca1_Zwin2",0.0157302065468457,0.0183896772218059,0,0,0,0,0,0,0,0,0,0
"Mdentgyr_Zwin2",0.0177657263800945,0.0293771780370614,0.0173460437518992,0,0,0,0,0,0,0,0,0
"Mca4_Zwin2",0.0189926859536825,0.0322841626304739,0.0194280172094681,0.00713548006244615,0,0,0,0,0,0,0,0
"Msub_Zwin2",0.0193028448530639,0.0380140932886455,0.029544731805144,0.0293938057276732,0.0209228327443995,0,0,0,0,0,0,0
"Mpresub_Zwin2",0.024664984152291,0.0451310922958088,0.0349984577319205,0.0345793647006604,0.0365059704992987,0.0307053386988725,0,0,0,0,0,0
"Mhata_Zwin2",0.0309961899701026,0.0488616330199786,0.0422834457136393,0.0452858105914709,0.0449488306822524,0.0524285251545498,0.0355482563521537,0,0,0,0,0
"Mca3_Zwin2",0.0286836315052078,0.049147225253721,0.0334131834355082,0.0314614085014143,0.0295923016072365,0.0321748112007446,0.0293929624410758,0.0200808818907899,0,0,0,0
"Mhiptail_Zwin2",0.0296406268259709,0.0519364328090495,0.0434049111257098,0.0479529706111675,0.0467491877548596,0.0556770937214381,0.0550762557648993,0.0516748893494061,0.0295319249692973,0,0,0
"Mhipfiss_Zwin2",0.0362443392521178,0.0615729232841818,0.0503975016820487,0.0545271971609223,0.0538157931694755,0.06316608588729,0.0628958072819796,0.0596384525284481,0.049766859929338,0.0446580357773188,0,0
"Mparasub_Zwin2",0.0360401522332244,0.0600273853250489,0.0483334687478729,0.0527198634827205,0.051783315035308,0.0559983255099076,0.0565734459485048,0.0537120963135436,0.0451718633382347,0.060556849876532,0.0333928953035058,0
"Mfim_Zwin2",0.040095099244223,0.0621320520459465,0.0533945567311668,0.0547918362033261,0.0562785181848016,0.0694359044966563,0.0658282515849973,0.0602421134559266,0.051365038162725,0.0655155558416734,0.057086144395128,0.0614822028706949
