"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12"
"Mmollay_Zwin2",0.902865095905476,0,0,0,0,0,0,0,0,0,0,0
"Mca1_Zwin2",0.846771030767339,0.250114891263225,0,0,0,0,0,0,0,0,0,0
"Mdentgyr_Zwin2",0.796319129820483,-0.0720377791506809,0.348287915614636,0,0,0,0,0,0,0,0,0
"Mca4_Zwin2",0.776673602660142,-0.0981953087338168,0.348746360132926,0.118068336426194,0,0,0,0,0,0,0,0
"Msub_Zwin2",0.767910050770539,-0.0991530230844122,-0.176704316834865,-0.0928618124531671,0.373735274168869,0,0,0,0,0,0,0
"Mpresub_Zwin2",0.653094262587334,-0.0920045225435722,-0.233022372714115,-0.327301282720494,0.0437913941497463,0.398774934885763,0,0,0,0,0,0
"Mhata_Zwin2",0.530045486806774,0.337582118667718,-0.01302277571359,-0.098667167548249,0.0375723123332539,0.12248126080971,0.483568182919758,0,0,0,0,0
"Mca3_Zwin2",0.569441622714525,-0.031300187512592,0.381449719746565,0.302351084445366,-0.236793183442011,-0.117131104190678,0.0539188207332897,0.293924691795014,0,0,0,0
"Mhiptail_Zwin2",0.534376188590067,-0.165587616390426,-0.206139646085566,0.0613871376021789,-0.0554765113618896,0.0151418586878096,0.0707669935465583,-0.153575845351345,0.673147643611465,0,0,0
"Mhipfiss_Zwin2",0.418736701088264,0.0918364261033038,-0.00521416806612985,0.0472782293610813,0.010722034249929,0.0997215972262416,-0.204915764496763,0.146218064127784,0.140061355121142,0.575365906476407,0,0
"Mparasub_Zwin2",0.386302356092714,0.00663382791289536,-0.153539311375288,-0.0378839036811991,0.0665165406575235,0.313448893022591,0.142198966737747,0.024909395007619,0.0788610500520962,-0.0189892463378539,0.595413649263302,0
"Mfim_Zwin2",0.195277418719154,0.272290767057294,-0.132768109532419,-0.374582641839349,0.260694214759056,0.00298265164664144,0.120892766981343,0.0357724956836452,-0.0219019588329958,-0.20810201310694,0.105014323779041,-0.440858552716663
