"","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12"
"Mmollay_Zwin2",0.024103540854217,0,0,0,0,0,0,0,0,0,0,0
"Mca1_Zwin2",0.0305640157628017,0.0150954140219797,0,0,0,0,0,0,0,0,0,0
"Mdentgyr_Zwin2",0.0303419034562837,0.020720537391888,0.0155276301740928,0,0,0,0,0,0,0,0,0
"Mca4_Zwin2",0.0319213731725332,0.0232354457047265,0.0175966729421151,0.0059420014092398,0,0,0,0,0,0,0,0
"Msub_Zwin2",0.032026187396173,0.0273876552683955,0.0253932725613555,0.0228309071032699,0.0179060468699756,0,0,0,0,0,0,0
"Mpresub_Zwin2",0.0339240638186839,0.0316780938649705,0.0297490350766307,0.0278614977776819,0.0283656669912836,0.0213049090729274,0,0,0,0,0,0
"Mhata_Zwin2",0.0412742259106048,0.0393501824249002,0.037604662160857,0.036581162650007,0.0377242870919101,0.0366248881498129,0.026742035502093,0,0,0,0,0
"Mca3_Zwin2",0.0362313997993614,0.0326456184026962,0.0299196376153051,0.0248717698413692,0.0236538088449205,0.0203717654325058,0.0187658956907771,0.015381509590391,0,0,0,0
"Mhiptail_Zwin2",0.0296262759103116,0.0301211097319421,0.0292235667617102,0.0290487498164447,0.0294947350918136,0.0286811248480162,0.0276764839148442,0.0293138324155043,0.0226607424477358,0,0,0
"Mhipfiss_Zwin2",0.046355105133142,0.0454944884635554,0.0451521966103755,0.0440696216321654,0.0455823151481893,0.0442877611255651,0.0423258901517539,0.0453520605661247,0.0464821769420997,0.0336557642505161,0,0
"Mparasub_Zwin2",0.0424894436299205,0.0422495769436253,0.0415343266923352,0.0405225872896476,0.0417061237706983,0.0396520952643389,0.0366788063807378,0.0390869815789846,0.0394210243809952,0.0371948107677262,0.027881773533195,0
"Mfim_Zwin2",0.0451387356346909,0.0447086184162839,0.0446356144598658,0.0434431237842895,0.0441373299092949,0.0424949084312088,0.0410774819342989,0.0434685946984756,0.0444577009560542,0.0415211064583232,0.0408681378023972,0.0297270603231112
